SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
SP,67792,OLÍMPIA,2,41115,41104,OLÍMPIA,Presidente,27094,,0.65898090721148,OLÍMPIA,0.0975069925817828,0.437845068709717
PR,74934,CASCAVEL,2,218448,217832,CASCAVEL,Presidente,172312,,0.788800996118069,CASCAVEL,0.177781439976562,0.326535376840255
MA,8079,ITAPECURU MIRIM,1,39957,38042,ITAPECURU MIRIM,Presidente,31460,,0.787346397377181,ITAPECURU MIRIM,0.045974422504192,0.534799909903146
MG,41238,BELO HORIZONTE,2,1956410,1957033,BELO HORIZONTE,Presidente,1374400,,0.702511232308156,BELO HORIZONTE,0.1410604116724,0.345556912917027
PA,4138,ANAJÁS,1,19034,19014,ANAJÁS,Presidente,12686,,0.666491541452138,ANAJÁS,0.0168645581590837,0.841284018072922
MA,9610,AÇAILÂNDIA,1,70283,68017,AÇAILÂNDIA,Presidente,52976,,0.753752685571191,AÇAILÂNDIA,0.0534410881721042,0.492195836831097
SP,70955,SÃO JOSÉ DO RIO PARDO,1,41616,41590,SÃO JOSÉ DO RIO PARDO,Presidente,27780,,0.667531718569781,SÃO JOSÉ DO RIO PARDO,0.0962610534409842,0.449154171472511
RS,85995,CAXIAS DO SUL,1,322901,319765,CAXIAS DO SUL,Presidente,255804,,0.792205660558499,CAXIAS DO SUL,0.162669053363105,0.342510552770044
SP,62839,CAIUÁ,1,3955,3952,CAIUÁ,Presidente,2595,,0.656131479140329,CAIUÁ,0.0439949431099874,0.534260429835651
PB,19666,JOCA CLAUDINO,2,2509,2511,JOCA CLAUDINO,Presidente,1967,,0.783977680350737,JOCA CLAUDINO,0.0418493423674771,0.639697090474293
SP,67890,OSASCO,2,569477,565461,OSASCO,Presidente,389572,,0.684087329251225,OSASCO,0.0994350957106257,0.361868872667377
PA,5533,SÃO SEBASTIÃO DA BOA VISTA,2,19672,19658,SÃO SEBASTIÃO DA BOA VISTA,Presidente,13171,,0.669530296868646,SÃO SEBASTIÃO DA BOA VISTA,0.0130134200894673,0.726565677104514
BA,39870,SANTA LUZIA,2,9109,9099,SANTA LUZIA,Presidente,5019,,0.55099352288945,SANTA LUZIA,0.00845317817543089,0.801075859040509
PR,79014,SENGÉS,2,13548,13545,SENGÉS,Presidente,10256,,0.757012105107765,SENGÉS,0.0557277826985533,0.574623560673162
CE,15474,SÃO BENEDITO,2,33229,31634,SÃO BENEDITO,Presidente,25503,,0.767492250744831,SÃO BENEDITO,0.0572090643714827,0.605495199975925
AL,27049,ESTRELA DE ALAGOAS,1,11620,11630,ESTRELA DE ALAGOAS,Presidente,7189,,0.618674698795181,ESTRELA DE ALAGOAS,0.0184165232358003,0.729518072289157
PE,25216,PETROLINA,1,198599,194832,PETROLINA,Presidente,148414,,0.747304870618684,PETROLINA,0.100201914410445,0.399538769077387
PE,25313,RECIFE,2,1155816,1137079,RECIFE,Presidente,919437,,0.795487344006312,RECIFE,0.187543692075555,0.292286142430975
BA,35955,ITABERABA,2,42346,42308,ITABERABA,Presidente,29831,,0.704458508477778,ITABERABA,0.0225523071836773,0.633566334482596
SP,64750,GUARUJÁ,2,226660,226727,GUARUJÁ,Presidente,155448,,0.685820171181505,GUARUJÁ,0.0524000705903115,0.475293390982088
CE,14273,ITAPAJÉ,1,35583,35564,ITAPAJÉ,Presidente,29193,,0.820419863417924,ITAPAJÉ,0.0517943962004328,0.542955905910126
CE,13714,CATARINA,2,8958,8946,CATARINA,Presidente,5471,,0.610739004242018,CATARINA,0.0184192900200938,0.722929225273499
SP,66451,LORENA,1,63654,63551,LORENA,Presidente,45594,,0.71627863135074,LORENA,0.0962233323907374,0.382662519244667
